@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
78,'2024/02/28 01:11:16:077',1,0.009587,0.001224,0.001507,0.195335,0.081795,-2.635933,0.94,0,0
79,'2024/02/28 01:11:16:110',1,0.00898,0.004112,0.00378,0.195556,0.081451,-2.635696,0.95,0,0
80,'2024/02/28 01:11:16:143',1,-0.001063,0.001972,0.006963,0.19591,0.081055,-2.635337,0.96,0,0
81,'2024/02/28 01:11:16:178',1,-0.003143,0.003052,0.014333,0.196062,0.081062,-2.635352,0.97,0,0
82,'2024/02/28 01:11:16:210',1,-0.002774,0.000506,0.008743,0.195661,0.081536,-2.635743,0.98,0,0
83,'2024/02/28 01:11:16:249',1,0.010269,-0.000346,0.003076,0.195337,0.082003,-2.635986,0.98,0,0
84,'2024/02/28 01:11:16:277',1,0.007159,0.002591,0.002712,0.19539,0.081657,-2.635721,0.98,0,0
85,'2024/02/28 01:11:16:310',1,0.000066,0.002501,0.003928,0.195688,0.081191,-2.635409,0.98,0,0
86,'2024/02/28 01:11:16:344',1,-0.002458,0.001839,0.014796,0.195947,0.081093,-2.635386,0.99,0,0
87,'2024/02/28 01:11:16:377',1,0.003253,0.002238,0.008473,0.195638,0.081437,-2.635604,0.99,0,0
88,'2024/02/28 01:11:16:411',1,0.00642,0.001934,0.001928,0.195421,0.081665,-2.635739,1,0,0
89,'2024/02/28 01:11:16:444',1,0.003682,0.00234,0.006959,0.195477,0.081578,-2.635679,1,0,0
90,'2024/02/28 01:11:16:477',1,0.001841,0.001742,0.005862,0.195458,0.081604,-2.635706,1,0,0
91,'2024/02/28 01:11:16:520',1,0.003331,0.002217,0.005823,0.195492,0.081626,-2.635775,1,0,0
92,'2024/02/28 01:11:16:544',1,0.001921,0.001733,0.00657,0.19545,0.081553,-2.635783,1,0,0
93,'2024/02/28 01:11:16:578',1,0.001169,0.002948,0.006644,0.195381,0.081557,-2.635809,1,0,0
94,'2024/02/28 01:11:16:610',1,0.004037,0.002344,0.006988,0.195311,0.081619,-2.635837,1,0,0
95,'2024/02/28 01:11:16:644',1,-0.000002,0.002086,0.008195,0.195063,0.081813,-2.635988,1,0,0
96,'2024/02/28 01:11:16:677',1,0.003363,0.001725,0.004538,0.194757,0.082111,-2.636161,1,0,0
97,'2024/02/28 01:11:16:710',1,0.005666,0.001356,0.007399,0.194614,0.08236,-2.636243,1,0,0
98,'2024/02/28 01:11:16:744',1,0.00094,0.005207,0.004903,0.194387,0.082446,-2.636209,1,0,0
99,'2024/02/28 01:11:16:777',1,0.002003,0.000267,0.006759,0.19422,0.082713,-2.636303,1,0,0
100,'2024/02/28 01:11:16:810',1,0.006024,0.000973,0.00431,0.194114,0.082875,-2.636311,1,0,0
101,'2024/02/28 01:11:16:844',1,0.00397,0.001663,0.003016,0.194041,0.082821,-2.636232,1,0,0
102,'2024/02/28 01:11:16:877',1,-0.000585,0.002965,0.006285,0.194185,0.082816,-2.636195,1,0,0
103,'2024/02/28 01:11:16:910',1,0.000115,0.001234,0.009911,0.194194,0.083052,-2.636396,1,0,0
104,'2024/02/28 01:11:16:947',1,0.003333,-0.000613,0.00659,0.194209,0.08332,-2.636587,1,0,0
105,'2024/02/28 01:11:16:977',1,0.004289,0.003042,0.008129,0.194108,0.083401,-2.636693,1,0,0
106,'2024/02/28 01:11:17:011',1,-0.000071,0.003913,0.00884,0.193721,0.08364,-2.636866,1,0,0
107,'2024/02/28 01:11:17:045',1,0.004315,0.001545,0.0042,0.193361,0.084127,-2.63713,1,0,0
108,'2024/02/28 01:11:17:077',1,0.009766,0.001035,0.001416,0.193183,0.084245,-2.637214,1,0,0
109,'2024/02/28 01:11:17:111',1,0.003253,0.002988,0.004797,0.193323,0.083995,-2.637018,1,0,0
110,'2024/02/28 01:11:17:144',1,-0.001723,0.001835,0.012884,0.19336,0.083919,-2.636989,1,0,0
111,'2024/02/28 01:11:17:179',1,-0.000469,0.001503,0.007262,0.193006,0.084269,-2.637273,1,0,0
112,'2024/02/28 01:11:17:210',1,0.005453,0.002017,0.0044,0.192597,0.08476,-2.637704,0.99,0,0
113,'2024/02/28 01:11:17:243',1,0.0062,0.001844,0.004372,0.19239,0.084836,-2.637793,0.99,0,0
114,'2024/02/28 01:11:17:278',1,0.004147,0.001624,0.002792,0.192181,0.084685,-2.637707,0.99,0,0
115,'2024/02/28 01:11:17:310',1,-0.001631,0.004117,0.00584,0.192234,0.084603,-2.637715,0.98,0,0
116,'2024/02/28 01:11:17:344',1,0.000676,0.001866,0.010152,0.192133,0.084723,-2.637964,0.98,0,0
117,'2024/02/28 01:11:17:377',1,0.007021,0.001752,0.004286,0.191815,0.084985,-2.638169,0.98,0,0
118,'2024/02/28 01:11:17:411',1,0.003151,0.0018,0.003669,0.191677,0.085008,-2.638224,0.98,0,0
119,'2024/02/28 01:11:17:443',1,0.000636,0.003237,0.005168,0.191711,0.085068,-2.638363,0.98,0,0
120,'2024/02/28 01:11:17:478',1,0.002861,0.001011,0.011344,0.191589,0.085397,-2.638556,0.98,0,0
121,'2024/02/28 01:11:17:511',1,0.006315,0.002272,0.003721,0.191194,0.085479,-2.638549,0.98,0,0
122,'2024/02/28 01:11:17:544',1,0.001945,0.002459,0.002496,0.191182,0.085375,-2.638482,0.98,0,0
123,'2024/02/28 01:11:17:578',1,0.000025,0.002008,0.012598,0.191205,0.085326,-2.638462,0.98,0,0
124,'2024/02/28 01:11:17:611',1,0.00088,0.001125,0.008441,0.190803,0.085584,-2.638545,0.98,0,0
125,'2024/02/28 01:11:17:643',1,0.005156,0.00239,-0.001126,0.190522,0.085841,-2.638699,0.98,0,0
126,'2024/02/28 01:11:17:677',1,0.003767,0.001162,0.004821,0.190623,0.085843,-2.638866,0.98,0,0
127,'2024/02/28 01:11:17:711',1,0.00373,0.001164,0.008117,0.190688,0.085882,-2.638942,0.98,0,0
128,'2024/02/28 01:11:17:745',1,0.003227,0.00009,0.0072,0.19065,0.085803,-2.638913,0.98,0,0
129,'2024/02/28 01:11:17:777',1,0.002306,0.002342,0.003708,0.19052,0.085885,-2.638994,0.99,0,0
130,'2024/02/28 01:11:17:811',1,0.007777,0.003291,0.002039,0.190647,0.085847,-2.63901,1,0,0
131,'2024/02/28 01:11:17:844',1,0.003405,0.001822,0.006154,0.190968,0.085548,-2.638879,1,0,0
132,'2024/02/28 01:11:17:877',1,0.000507,0.001569,0.003926,0.191442,0.085212,-2.638739,1,0,0
133,'2024/02/28 01:11:17:911',1,0.003532,0.003018,0.008786,0.191923,0.084935,-2.638672,1,0,0
134,'2024/02/28 01:11:17:944',1,0.00158,0.003705,0.009205,0.192094,0.084827,-2.638685,1,0,0
135,'2024/02/28 01:11:17:976',1,0.005442,0.001026,0.005843,0.192054,0.084981,-2.638726,1,0,0
136,'2024/02/28 01:11:18:011',1,0.004632,0.000272,0.004701,0.192111,0.084999,-2.638646,1,0,0
137,'2024/02/28 01:11:18:044',1,0.00467,0.001983,0.002569,0.192267,0.084775,-2.638395,1,0,0
138,'2024/02/28 01:11:18:077',1,-0.001629,0.002707,0.009044,0.192477,0.084604,-2.638234,1,0,0
139,'2024/02/28 01:11:18:111',1,0.000864,0.00123,0.00853,0.19234,0.084862,-2.638353,1,0,0
140,'2024/02/28 01:11:18:144',1,0.003674,0.001277,0.006122,0.192124,0.085136,-2.638519,1,0,0
141,'2024/02/28 01:11:18:177',1,0.006247,0.003375,0.002348,0.192022,0.08525,-2.638507,1,0,0
142,'2024/02/28 01:11:18:211',1,0.003572,0.002008,0.00165,0.192231,0.085086,-2.638411,1,0,0
143,'2024/02/28 01:11:18:244',1,0.00078,0.000654,0.01136,0.192531,0.084889,-2.638285,1,0,0
144,'2024/02/28 01:11:18:277',1,0.002728,0.001505,0.008377,0.192324,0.085078,-2.638269,1,0,0
145,'2024/02/28 01:11:18:311',1,0.001248,0.000766,0.008497,0.192007,0.085462,-2.638354,1,0,0
