@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
95,'2024/02/21 17:42:50:106',3,14.854582,0.981114,8.038175,8.032321,-0.08833,2.930758,2.951778,0,0,0,0,0,1,0,0
96,'2024/02/21 17:42:50:141',3,15.560074,0.974944,8.021053,8.017848,-0.08779,2.92263,2.95005,0,0,0,0,0,1,0,0
97,'2024/02/21 17:42:50:176',3,14.755127,0.996525,8.113819,8.111006,-0.087715,2.861912,2.891687,0,0,0,0,0,1,0,0
98,'2024/02/21 17:42:50:205',3,15.630269,0.989675,7.88663,7.897827,-0.09147,3.082658,3.114205,0,0,0,0,0,1,0,0
99,'2024/02/21 17:42:50:240',3,14.849443,1.013696,7.983852,7.989502,-0.0957,3.042322,3.072346,0,0,0,0,0,1,0,0
100,'2024/02/21 17:42:50:275',3,15.531549,1.047793,8.056789,8.077831,-0.10007,2.985506,3.014296,0,0,0,0,0,1,0,0
101,'2024/02/21 17:42:50:309',3,15.00498,1.007135,7.862539,7.883009,-0.106918,3.190339,3.224591,0,0,0,0,0,1,0,0
102,'2024/02/21 17:42:50:338',3,15.62056,1.056578,7.866777,7.899317,-0.108485,3.210644,3.242482,0,0,0,0,0,1,0,0
103,'2024/02/21 17:42:50:373',3,15.181911,1.071298,7.891684,7.91177,-0.107551,3.181271,3.208433,0,0,0,0,0,1,0,0
104,'2024/02/21 17:42:50:408',3,14.861849,1.036904,7.931493,7.952797,-0.10565,3.134256,3.165598,0,0,0,0,0,1,0,0
105,'2024/02/21 17:42:50:443',3,15.748613,1.053,7.883972,7.917053,-0.106106,3.13572,3.166393,0,0,0,0,0,1,0,0
106,'2024/02/21 17:42:50:472',3,15.343012,1.049397,7.900615,7.919112,-0.101174,3.12323,3.149534,0,0,0,0,0,1,0,0
107,'2024/02/21 17:42:50:507',3,14.914368,1.04315,7.928767,7.951042,-0.104029,3.145353,3.182701,0,0,0,0,0,1,0,0
108,'2024/02/21 17:42:50:542',3,15.701694,1.069497,7.916818,7.948218,-0.110322,3.087606,3.121557,0,0,0,0,0,1,0,0
109,'2024/02/21 17:42:50:576',3,15.251779,1.066168,7.833024,7.861264,-0.10186,3.186856,3.21881,0,0,0,0,0,1,0,0
110,'2024/02/21 17:42:50:599',3,15.207009,1.064566,7.922123,7.951888,-0.106774,3.150229,3.182679,0,0,0,0,0,1,0,0
111,'2024/02/21 17:42:50:634',3,14.948856,1.045962,7.822254,7.849083,-0.102085,3.23391,3.269349,0,0,0,0,0,1,0,0
112,'2024/02/21 17:42:50:669',3,15.410499,1.025803,7.864183,7.890152,-0.09889,3.246391,3.274546,0,0,0,0,0,1,0,0
113,'2024/02/21 17:42:50:704',3,15.169388,1.027576,7.869324,7.879866,-0.103811,3.238709,3.270192,0,0,0,0,0,1,0,0
114,'2024/02/21 17:42:50:739',3,15.450931,1.050522,7.830508,7.851544,-0.11061,3.294456,3.319161,0,0,0,0,0,1,0,0
115,'2024/02/21 17:42:50:774',3,14.9858,1.019701,7.889095,7.910256,-0.103229,3.256729,3.29811,0,0,0,0,0,1,0,0
116,'2024/02/21 17:42:50:809',3,15.743752,1.034319,7.79929,7.817628,-0.096934,3.321447,3.358188,0,0,0,0,0,1,0,0
117,'2024/02/21 17:42:50:837',3,15.591128,1.056458,7.875871,7.899663,-0.097103,3.218889,3.252118,0,0,0,0,0,1,0,0
118,'2024/02/21 17:42:50:873',3,15.450284,1.038123,7.729483,7.744961,-0.098273,3.359201,3.394634,0,0,0,0,0,1,0,0
119,'2024/02/21 17:42:50:907',3,15.628113,1.052981,7.840052,7.863284,-0.101679,3.314867,3.343158,0,0,0,0,0,1,0,0
120,'2024/02/21 17:42:50:942',3,15.422584,1.034335,7.768465,7.783787,-0.094048,3.338547,3.373641,0,0,0,0,0,1,0,0
121,'2024/02/21 17:42:50:977',3,15.440657,1.055967,7.808822,7.822949,-0.098548,3.411872,3.443926,0,0,0,0,0,1,0,0
122,'2024/02/21 17:42:51:006',3,15.591433,1.061633,7.817854,7.842604,-0.09807,3.272622,3.307535,0,0,0,0,0,1,0,0
123,'2024/02/21 17:42:51:041',3,15.509243,1.064483,7.798662,7.822177,-0.102519,3.27003,3.294994,0,0,0,0,0,1,0,0
124,'2024/02/21 17:42:51:076',3,15.436269,1.073847,7.825908,7.849454,-0.094221,3.239448,3.272535,0,0,0,0,0,1,0,0
125,'2024/02/21 17:42:51:105',3,15.438279,1.072054,7.84675,7.864199,-0.089835,3.231258,3.26328,0,0,0,0,0,1,0,0
126,'2024/02/21 17:42:51:139',3,15.505197,1.084177,7.821222,7.842666,-0.097083,3.236561,3.268935,0,0,0,0,0,1,0,0
127,'2024/02/21 17:42:51:174',3,15.481505,1.082942,7.868122,7.899793,-0.091469,3.193022,3.23199,0,0,0,0,0,1,0,0
128,'2024/02/21 17:42:51:209',3,15.479697,1.068463,7.793609,7.822472,-0.084167,3.249835,3.294216,0,0,0,0,0,1,0,0
129,'2024/02/21 17:42:51:238',3,15.356448,1.040963,7.86761,7.892793,-0.075519,3.217597,3.26446,0,0,0,0,0,1,0,0
130,'2024/02/21 17:42:51:239',3,15.356448,1.040963,7.86761,7.892793,-0.075519,3.217597,3.26446,0,0,0,0,0,1,0,0
131,'2024/02/21 17:42:51:273',3,15.382842,1.043575,7.8392,7.860909,-0.073278,3.25452,3.305718,0,0,0,0,0,1,0,0
132,'2024/02/21 17:42:51:308',3,14.884872,1.032235,7.833582,7.849509,-0.075595,3.338902,3.387816,0,0,0,0,0,1,0,0
133,'2024/02/21 17:42:51:342',3,15.478935,1.026994,7.82613,7.846404,-0.073672,3.346181,3.397777,0,0,0,0,0,1,0,0
134,'2024/02/21 17:42:51:372',3,15.027519,1.022032,7.868754,7.881419,-0.071438,3.336833,3.382132,0,0,0,0,0,1,0,0
135,'2024/02/21 17:42:51:406',3,15.110133,1.013799,7.858278,7.868754,-0.065054,3.30738,3.351862,0,0,0,0,0,1,0,0
136,'2024/02/21 17:42:53:003',4,15.172019,1.047719,7.96545,7.919429,-0.072891,2.728653,2.746126,0,0,0,0,0,1,0,0
137,'2024/02/21 17:42:53:044',4,15.186371,1.060224,7.981638,7.938867,-0.078232,2.692692,2.70622,0,0,0,0,0,1,0,0
